name,crust,size,energy_kcal_100g,energy_kj_100g,fat_g_100g,sat_g_100g,carb_g_100g,sugars_g_100g,fibre_g_100g,protein_g_100g,salt_g_100g,sodium_g_100g,energy_kcal_serv,energy_kj_serv,fat_g_serv,sat_g_serv,carb_g_serv,sugars_g_serv,fibre_g_serv,protein_g_serv,salt_g_serv,sodium_g_serv,energy_kcal_rda,fat_rda,sat_rda,carb_rda,sugars_rda,fibre_rda,protein_rda,salt_rda,sodium_rda
Tandoori Sizzler,Thin & Crispy Crust,Medium,240,1006,8.8,4.4,27.6,5.4,1.7,11.9,1.29,0.51,373,1566,13.7,6.8,42.9,8.3,2.7,18.5,2.01,0.79,0.19,0.2,0.34,0.16,0.09,0.09,0.37,0.34,0.33
Texas BBQ,Classic Crust,Large,279,1170,12.4,5.8,29,12.3,1.9,12,1.29,0.51,633,2657,28.3,13.1,65.9,27.9,4.3,27.1,2.93,1.15,0.32,0.4,0.66,0.25,0.31,0.14,0.54,0.49,0.48
Texas BBQ,Classic Crust,Medium,292,1231,9.2,4.1,36.3,11.6,2,15.4,1.27,0.5,571,2408,17.9,8,71.1,22.7,3.8,30.1,2.48,0.98,0.29,0.26,0.4,0.27,0.25,0.13,0.6,0.41,0.41
Texas BBQ,Classic Crust,Small,289,1216,9.7,4,36.7,11.6,1.6,13.1,1.49,0.59,957,4030,32.2,13.1,121.7,38.5,5.1,43.5,4.95,1.94,0.48,0.46,0.66,0.47,0.43,0.17,0.87,0.82,0.81
Texas BBQ,Classic Crust,Personal,323,1359,9.8,3.7,43.4,11.9,1.8,14.5,1.64,0.65,622,2621,18.9,7.1,83.7,22.9,3.5,28,3.16,1.24,0.31,0.27,0.36,0.32,0.25,0.12,0.56,0.53,0.52
Texas BBQ,Italian Style Crust,Large,284,1194,8.7,3.6,38.8,14.8,1.9,11.7,1.58,0.62,536,2258,16.5,6.7,73.4,28,3.7,22.2,2.98,1.17,0.27,0.24,0.34,0.28,0.31,0.12,0.44,0.5,0.49
Texas BBQ,Italian Style Crust,Medium,283,1194,9.1,3.8,37.8,15.1,2.4,11.7,1.68,0.66,587,2475,18.8,7.8,78.3,31.3,4.9,24.3,3.49,1.37,0.29,0.27,0.39,0.3,0.35,0.16,0.49,0.58,0.57
Texas BBQ,Italian Style Crust,Small,266,1115,9.1,3.9,32.2,12.3,1.8,13.4,1.45,0.57,811,3400,27.6,11.9,98.1,37.5,5.6,40.9,4.43,1.74,0.41,0.39,0.6,0.38,0.42,0.19,0.82,0.74,0.72
Texas BBQ,Stuffed Crust,Large,285,1199,10.3,5.1,30.9,9.7,2.5,16.1,1.61,0.63,751,3161,27.2,13.5,81.4,25.7,6.6,42.4,4.24,1.67,0.38,0.39,0.68,0.31,0.29,0.22,0.85,0.71,0.7
Texas BBQ,Stuffed Crust,Medium,281,1181,10,4.7,30.6,10.4,3.8,15.5,1.44,0.57,684,2871,24.2,11.3,74.4,25.3,9.3,37.7,3.49,1.37,0.34,0.35,0.57,0.29,0.28,0.31,0.75,0.58,0.57
